Trial Number,Key
2,00100101
3,01010001
4,01001011
5,01101110
9,01100111
10,00001001
14,11111111
15,11101111
16,10010001
19,00000100
21,10010011
22,10010011
23,00000011
24,01000000
25,10001010
26,00110000
27,01101100
28,11101101
34,01001100
36,10010101
37,01000110
38,01110100
40,01110000
41,10111110
42,10011001
44,01000001
46,10011111
47,11000101
48,00111111
49,01110000
51,00100010
53,00111101
55,10100010
56,01000101
57,00011001
58,11111011
59,10111000
64,00100011
70,11001110
71,11110110
72,10110111
74,11000100
78,10110110
79,00010111
80,11010111
82,11100111
85,00011111
87,01000101
91,00010111
94,10001010
96,01110110
97,10001010
98,00011000
99,11110111
102,11000100
103,10101111
106,11100011
108,10011000
109,10110110
113,01010011
116,11011101
119,11101100
120,01110100
121,00011111
122,10100110
123,10000100
125,00101100
127,10111001
128,10100100
129,00110101
132,01100100
133,11000110
134,00000011
137,00010011
138,00100001
144,01001001
146,01001001
148,01100110
149,10010111
152,10001011
154,11011010
155,00101110
156,10100001
158,11010101
162,00110010
163,00101111
165,01010001
166,10000001
169,11101001
170,11111010
174,10110000
178,00001101
183,00100101
184,01011001
185,11011101
186,10100111
187,11100001
188,01101011
191,10100001
192,11001000
193,00001000
195,00111011
198,01011000
199,01111111
200,11011001
202,00100011
204,00101011
206,01111100
209,11110010
211,11100010
214,01101110
216,10110111
217,10111100
218,10111011
219,11001011
221,01100001
222,10110000
223,10001101
225,11111011
227,00100011
228,11011110
231,01101000
233,01000101
234,00110000
237,10100010
240,00111010
241,01010001
242,01110010
244,00111010
245,00101001
247,01101110
256,10111100
259,00011111
260,01010101
261,01011011
266,01000101
267,11001101
268,01010001
270,11011101
271,11101100
273,00100000
274,01101100
275,01001001
276,11101111
278,10011100
282,11000010
286,00001101
288,11101111
290,11100101
295,11011110
297,01110000
298,00111101
299,00011001
301,01111000
304,01011011
305,01100000
309,10100101
311,10111110
314,01100010
315,11000101
318,10000011
320,10010110
321,10100111
327,11101100
329,01010100
330,10001010
331,00010001
333,11100111
336,11010010
337,10111010
339,00011111
340,01010010
341,00011101
345,00101000
350,11100001
352,10001101
353,00010111
354,10101000
358,10000011
359,00110011
360,01101010
362,01100001
364,10011001
365,01110101
369,11101011
370,01011000
373,00101011
374,10000111
375,11100000
377,10110110
378,01000011
379,11111110
381,00011110
384,11001110
386,10110100
389,01111011
390,01011000
391,10110000
392,00111111
397,01001001
400,11011111
403,01111000
404,11011110
405,11010101
406,00000111
407,10111011
410,10010101
412,00011100
413,10011110
417,00101111
422,11111010
423,11101100
424,10110000
426,11100001
427,01100010
428,11001101
431,11011111
434,11001000
438,11011000
440,10111001
441,01100001
445,11001110
446,11100000
447,00111101
449,00000111
450,10011111
451,10101111
452,00101000
453,10100110
454,11011000
457,10010100
458,11111000
459,00101010
460,11110101
461,10000000
462,00000110
465,11000101
468,10110010
470,11101100
472,10001011
478,01010100
479,11000111
483,00100010
484,01010110
488,10111110
490,11110001
491,00000001
494,11001000
495,10111111
496,00011100
498,01100011
